time_stamp, computer_name, mac_addres, coin_value
2014-12-23 01:01:51,pesofare,94-DE-80-0F-8F-3C,1
2014-12-23 01:01:52,pesofare,94-DE-80-0F-8F-3C,1
2014-12-23 01:01:52,pesofare,94-DE-80-0F-8F-3C,1
2014-12-23 01:01:55,pesofare,94-DE-80-0F-8F-3C,5
2014-12-23 01:01:57,pesofare,94-DE-80-0F-8F-3C,5
2014-12-23 01:01:58,pesofare,94-DE-80-0F-8F-3C,5
2014-12-23 01:01:58,pesofare,94-DE-80-0F-8F-3C,5
2014-12-23 01:02:28,pesofare,94-DE-80-0F-8F-3C,1
2014-12-23 01:02:28,pesofare,94-DE-80-0F-8F-3C,1
2014-12-23 01:02:28,pesofare,94-DE-80-0F-8F-3C,1
2014-12-23 01:02:29,pesofare,94-DE-80-0F-8F-3C,1
2014-12-23 01:02:29,pesofare,94-DE-80-0F-8F-3C,1
2014-12-23 01:02:29,pesofare,94-DE-80-0F-8F-3C,1
2014-12-23 01:02:29,pesofare,94-DE-80-0F-8F-3C,1
2014-12-23 01:02:30,pesofare,94-DE-80-0F-8F-3C,1
2014-12-23 01:02:30,pesofare,94-DE-80-0F-8F-3C,1
2014-12-23 01:07:28,pesofare,94-DE-80-0F-8F-3C,1
2014-12-23 01:07:28,pesofare,94-DE-80-0F-8F-3C,1
2014-12-23 01:07:29,pesofare,94-DE-80-0F-8F-3C,1
2014-12-23 01:07:29,pesofare,94-DE-80-0F-8F-3C,1
2014-12-23 01:07:29,pesofare,94-DE-80-0F-8F-3C,1
2014-12-23 01:07:32,pesofare,94-DE-80-0F-8F-3C,5
2014-12-23 01:07:32,pesofare,94-DE-80-0F-8F-3C,5
2014-12-23 01:07:32,pesofare,94-DE-80-0F-8F-3C,5
2014-12-23 01:07:32,pesofare,94-DE-80-0F-8F-3C,5
2014-12-23 01:07:32,pesofare,94-DE-80-0F-8F-3C,5
2014-12-23 01:07:32,pesofare,94-DE-80-0F-8F-3C,5
2014-12-23 01:07:32,pesofare,94-DE-80-0F-8F-3C,5
2014-12-23 01:08:41,pesofare,94-DE-80-0F-8F-3C,1
2014-12-23 01:08:41,pesofare,94-DE-80-0F-8F-3C,1
2014-12-23 01:08:42,pesofare,94-DE-80-0F-8F-3C,1
2014-12-23 01:08:42,pesofare,94-DE-80-0F-8F-3C,1
2014-12-23 01:08:42,pesofare,94-DE-80-0F-8F-3C,5
2014-12-23 01:08:42,pesofare,94-DE-80-0F-8F-3C,5
2014-12-23 01:08:42,pesofare,94-DE-80-0F-8F-3C,5
2014-12-23 01:08:42,pesofare,94-DE-80-0F-8F-3C,5
2014-12-23 01:08:43,pesofare,94-DE-80-0F-8F-3C,5
2014-12-23 01:08:43,pesofare,94-DE-80-0F-8F-3C,5
2014-12-23 01:08:43,pesofare,94-DE-80-0F-8F-3C,5
2014-12-23 01:08:43,pesofare,94-DE-80-0F-8F-3C,5
2014-12-23 01:08:43,pesofare,94-DE-80-0F-8F-3C,5
2014-12-23 01:08:43,pesofare,94-DE-80-0F-8F-3C,5
2014-12-23 01:08:43,pesofare,94-DE-80-0F-8F-3C,5
2014-12-23 01:08:43,pesofare,94-DE-80-0F-8F-3C,5
2014-12-23 01:08:43,pesofare,94-DE-80-0F-8F-3C,5
2014-12-23 01:08:43,pesofare,94-DE-80-0F-8F-3C,5
2014-12-23 01:08:43,pesofare,94-DE-80-0F-8F-3C,5
2014-12-23 01:08:43,pesofare,94-DE-80-0F-8F-3C,5
2014-12-23 01:08:43,pesofare,94-DE-80-0F-8F-3C,5
2014-12-23 01:08:43,pesofare,94-DE-80-0F-8F-3C,5
2014-12-23 01:08:43,pesofare,94-DE-80-0F-8F-3C,5
2014-12-23 01:08:44,pesofare,94-DE-80-0F-8F-3C,5
2014-12-23 01:08:44,pesofare,94-DE-80-0F-8F-3C,5
2014-12-23 01:08:44,pesofare,94-DE-80-0F-8F-3C,5
2014-12-23 01:08:44,pesofare,94-DE-80-0F-8F-3C,5
2014-12-23 01:08:44,pesofare,94-DE-80-0F-8F-3C,5
2014-12-23 01:08:44,pesofare,94-DE-80-0F-8F-3C,5
2014-12-23 01:08:44,pesofare,94-DE-80-0F-8F-3C,5
2014-12-23 01:08:44,pesofare,94-DE-80-0F-8F-3C,5
2014-12-23 01:08:44,pesofare,94-DE-80-0F-8F-3C,5
2014-12-23 01:08:44,pesofare,94-DE-80-0F-8F-3C,5
2014-12-23 01:08:44,pesofare,94-DE-80-0F-8F-3C,5
2014-12-23 01:08:44,pesofare,94-DE-80-0F-8F-3C,5
2014-12-23 01:08:44,pesofare,94-DE-80-0F-8F-3C,5
2014-12-23 01:08:44,pesofare,94-DE-80-0F-8F-3C,5
2014-12-23 01:08:44,pesofare,94-DE-80-0F-8F-3C,5
2014-12-23 01:08:44,pesofare,94-DE-80-0F-8F-3C,5
2014-12-23 01:08:45,pesofare,94-DE-80-0F-8F-3C,5
